Step,True_Label,Top1,Top2,Top3,nDCG@3,Hit@3
73,10,41,26,32,0.0,0
74,24,24,3,33,0.9999999989999999,1
75,34,37,29,14,0.0,0
76,38,37,29,14,0.0,0
77,3,29,12,37,0.0,0
78,3,41,14,6,0.0,0
79,24,4,37,29,0.0,0
80,16,37,1,10,0.0,0
81,38,37,6,41,0.0,0
82,18,5,26,0,0.0,0
83,33,35,15,40,0.0,0
84,28,28,1,37,0.9999999989999999,1
85,30,29,19,0,0.0,0
86,29,2,28,24,0.0,0
87,38,37,26,1,0.0,0
88,27,37,5,29,0.0,0
89,13,29,10,23,0.0,0
90,25,41,5,26,0.0,0
91,38,1,39,28,0.0,0
92,22,41,37,14,0.0,0
93,31,26,37,29,0.0,0
94,24,37,10,28,0.0,0
95,38,37,33,29,0.0,0
96,24,24,25,20,0.9999999989999999,1
97,24,37,33,1,0.0,0
98,16,0,1,29,0.0,0
99,14,14,6,17,0.9999999989999999,1
100,29,37,25,29,0.49999999949999996,1
101,37,37,6,40,0.9999999989999999,1
102,30,4,10,3,0.0,0
103,38,16,27,32,0.0,0
104,2,1,37,6,0.0,0
105,10,26,37,6,0.0,0
106,38,37,27,29,0.0,0
107,41,41,10,18,0.9999999989999999,1
108,33,37,41,26,0.0,0
109,23,12,10,41,0.0,0
110,23,41,27,4,0.0,0
111,24,39,26,6,0.0,0
112,24,1,41,35,0.0,0
113,5,37,1,33,0.0,0
114,24,37,14,40,0.0,0
115,2,29,5,27,0.0,0
116,26,1,27,19,0.0,0
117,10,37,41,29,0.0,0
118,25,37,29,1,0.0,0
119,30,29,37,10,0.0,0
120,28,29,37,14,0.0,0
121,37,15,6,37,0.49999999949999996,1
122,38,37,5,28,0.0,0
123,24,28,10,24,0.49999999949999996,1
124,33,37,5,16,0.0,0
125,17,14,28,37,0.0,0
126,34,20,37,19,0.0,0
127,22,37,10,1,0.0,0
128,13,31,37,19,0.0,0
129,39,37,29,41,0.0,0
130,5,16,27,32,0.0,0
131,5,1,37,19,0.0,0
132,38,29,31,37,0.0,0
133,17,29,37,14,0.0,0
134,3,41,26,37,0.0,0
135,38,16,41,3,0.0,0
136,26,29,26,17,0.6309297529405278,1
137,26,14,9,37,0.0,0
138,18,1,37,40,0.0,0
139,34,37,5,0,0.0,0
140,30,37,6,14,0.0,0
141,15,41,6,10,0.0,0
142,24,25,29,33,0.0,0
143,22,37,28,4,0.0,0
144,30,37,27,31,0.0,0
145,22,37,13,14,0.0,0
146,38,29,10,32,0.0,0
147,34,37,10,5,0.0,0
148,25,37,14,26,0.0,0
149,8,10,8,24,0.6309297529405278,1
150,24,10,28,32,0.0,0
151,34,37,1,27,0.0,0
152,10,37,10,19,0.6309297529405278,1
153,13,37,41,27,0.0,0
154,16,16,5,41,0.9999999989999999,1
155,4,33,37,41,0.0,0
156,24,3,4,5,0.0,0
157,33,4,25,41,0.0,0
158,15,37,29,4,0.0,0
159,24,28,37,10,0.0,0
160,10,4,20,28,0.0,0
161,20,4,37,19,0.0,0
162,8,10,24,8,0.49999999949999996,1
163,22,37,1,10,0.0,0
164,24,26,29,5,0.0,0
165,41,5,29,1,0.0,0
166,38,31,38,23,0.6309297529405278,1
167,34,29,37,20,0.0,0
168,38,0,37,27,0.0,0
169,3,0,29,5,0.0,0
170,10,41,27,0,0.0,0
171,24,37,5,28,0.0,0
172,8,37,29,5,0.0,0
173,34,29,37,14,0.0,0
174,2,27,4,20,0.0,0
175,24,12,5,24,0.49999999949999996,1
176,10,37,1,27,0.0,0
177,16,0,1,31,0.0,0
178,22,5,37,24,0.0,0
179,2,41,3,16,0.0,0
180,24,28,37,6,0.0,0
181,24,25,20,5,0.0,0
182,34,37,10,26,0.0,0
183,38,37,1,27,0.0,0
184,1,29,32,28,0.0,0
185,24,15,20,16,0.0,0
186,3,26,41,28,0.0,0
187,28,29,31,32,0.0,0
188,24,26,19,41,0.0,0
189,23,37,32,16,0.0,0
190,20,29,37,0,0.0,0
191,29,29,31,27,0.9999999989999999,1
192,13,37,15,40,0.0,0
193,25,37,1,5,0.0,0
194,10,19,15,23,0.0,0
195,38,37,10,1,0.0,0
196,13,41,37,29,0.0,0
197,3,37,31,1,0.0,0
198,19,29,1,31,0.0,0
199,26,37,33,6,0.0,0
200,24,4,26,28,0.0,0
201,10,1,27,39,0.0,0
202,17,14,37,6,0.0,0
203,10,29,31,9,0.0,0
204,32,37,41,27,0.0,0
205,37,29,10,28,0.0,0
206,25,28,10,20,0.0,0
207,38,37,27,6,0.0,0
208,11,29,39,23,0.0,0
209,34,41,6,0,0.0,0
210,35,1,16,37,0.0,0
211,38,1,37,19,0.0,0
212,24,16,5,28,0.0,0
213,24,37,28,40,0.0,0
214,18,37,1,32,0.0,0
215,16,4,27,33,0.0,0
216,39,39,10,24,0.9999999989999999,1
217,26,33,6,40,0.0,0
218,24,28,26,37,0.0,0
219,25,33,6,5,0.0,0
220,24,7,41,6,0.0,0
221,31,29,37,26,0.0,0
222,12,37,10,1,0.0,0
223,3,41,6,14,0.0,0
224,5,26,15,28,0.0,0
225,10,10,28,25,0.9999999989999999,1
226,32,37,5,33,0.0,0
227,15,29,0,5,0.0,0
228,24,37,5,33,0.0,0
229,25,5,29,1,0.0,0
230,14,10,37,14,0.49999999949999996,1
231,24,37,32,26,0.0,0
232,13,37,32,28,0.0,0
233,31,33,6,4,0.0,0
234,38,5,10,31,0.0,0
235,17,1,28,37,0.0,0
236,31,29,31,13,0.6309297529405278,1
237,7,37,14,29,0.0,0
238,34,37,35,29,0.0,0
239,17,37,3,10,0.0,0
240,22,37,35,1,0.0,0
241,10,29,27,10,0.49999999949999996,1
242,22,37,1,10,0.0,0
243,24,5,41,29,0.0,0
244,37,37,26,1,0.9999999989999999,1
245,24,26,24,25,0.6309297529405278,1
246,20,41,4,33,0.0,0
247,13,10,29,0,0.0,0
248,24,41,37,24,0.49999999949999996,1
249,25,26,41,25,0.49999999949999996,1
250,39,37,28,32,0.0,0
251,39,29,37,26,0.0,0
252,30,20,37,25,0.0,0
253,10,37,1,5,0.0,0
254,40,20,10,3,0.0,0
255,34,10,5,40,0.0,0
256,38,29,5,3,0.0,0
257,22,37,13,5,0.0,0
258,12,37,28,15,0.0,0
259,40,26,4,33,0.0,0
260,38,29,5,37,0.0,0
261,40,28,33,6,0.0,0
262,40,33,41,19,0.0,0
263,38,1,37,33,0.0,0
264,16,37,5,10,0.0,0
265,27,37,19,20,0.0,0
266,16,14,29,1,0.0,0
267,17,4,1,7,0.0,0
268,24,19,1,14,0.0,0
269,33,37,29,28,0.0,0
270,0,37,28,40,0.0,0
271,24,37,14,41,0.0,0
272,25,29,37,40,0.0,0
273,34,37,28,6,0.0,0
274,17,29,14,37,0.0,0
275,24,28,5,29,0.0,0
276,24,6,28,33,0.0,0
277,24,41,14,37,0.0,0
278,24,0,31,14,0.0,0
279,24,41,25,2,0.0,0
280,24,19,5,1,0.0,0
281,17,16,28,14,0.0,0
282,8,37,14,10,0.0,0
283,24,5,1,20,0.0,0
284,34,29,14,37,0.0,0
285,17,41,19,0,0.0,0
286,38,37,33,1,0.0,0
287,34,13,4,33,0.0,0
288,24,41,15,16,0.0,0
289,30,37,41,19,0.0,0
290,38,5,33,2,0.0,0
291,33,37,41,28,0.0,0
292,36,24,5,37,0.0,0
293,24,37,31,1,0.0,0
294,9,37,28,16,0.0,0
295,24,37,0,14,0.0,0
296,25,37,5,10,0.0,0
297,30,28,10,15,0.0,0
298,10,29,37,10,0.49999999949999996,1
299,6,41,10,12,0.0,0
300,24,28,26,29,0.0,0
301,13,37,14,19,0.0,0
302,24,37,20,1,0.0,0
303,26,13,37,15,0.0,0
304,29,27,37,25,0.0,0
305,2,41,24,33,0.0,0
306,18,29,37,28,0.0,0
307,6,12,37,1,0.0,0
308,34,41,37,3,0.0,0
309,16,35,15,10,0.0,0
310,13,14,37,5,0.0,0
311,30,29,37,0,0.0,0
312,13,37,32,1,0.0,0
313,13,14,37,10,0.0,0
314,1,10,37,41,0.0,0
315,24,4,14,10,0.0,0
316,16,5,37,31,0.0,0
317,39,40,35,19,0.0,0
318,30,29,20,5,0.0,0
319,24,41,26,37,0.0,0
320,16,29,37,28,0.0,0
321,1,4,0,26,0.0,0
322,14,29,13,1,0.0,0
323,27,37,3,31,0.0,0
324,41,40,5,33,0.0,0
325,30,37,28,1,0.0,0
326,24,41,30,33,0.0,0
327,30,29,37,10,0.0,0
328,31,37,14,0,0.0,0
329,24,41,26,5,0.0,0
330,22,40,5,35,0.0,0
331,12,39,23,37,0.0,0
332,8,6,26,41,0.0,0
333,34,37,14,15,0.0,0
334,15,16,23,3,0.0,0
335,34,0,26,14,0.0,0
336,10,29,1,5,0.0,0
337,17,37,29,10,0.0,0
338,10,0,1,29,0.0,0
339,5,28,10,0,0.0,0
340,10,1,40,33,0.0,0
341,24,26,4,16,0.0,0
342,16,0,12,5,0.0,0
343,24,41,6,37,0.0,0
344,28,0,5,10,0.0,0
345,22,37,29,14,0.0,0
346,38,29,37,32,0.0,0
347,33,28,26,37,0.0,0
348,24,41,6,24,0.49999999949999996,1
349,16,14,4,16,0.49999999949999996,1
350,38,14,1,5,0.0,0
351,38,29,15,10,0.0,0
352,17,37,29,19,0.0,0
353,38,28,10,37,0.0,0
354,8,37,5,29,0.0,0
355,18,29,5,9,0.0,0
356,13,14,13,1,0.6309297529405278,1
357,8,37,10,26,0.0,0
358,28,14,37,6,0.0,0
359,17,14,6,37,0.0,0
360,10,14,1,37,0.0,0
361,32,28,20,26,0.0,0
362,34,29,5,1,0.0,0
363,23,1,5,10,0.0,0
364,38,29,20,26,0.0,0
365,35,37,14,26,0.0,0
366,24,0,4,1,0.0,0
367,28,29,31,1,0.0,0
368,17,19,37,6,0.0,0
369,39,27,41,37,0.0,0
370,30,37,14,26,0.0,0
371,38,29,0,13,0.0,0
372,2,29,27,26,0.0,0
373,30,41,37,20,0.0,0
374,36,5,10,24,0.0,0
375,10,29,28,37,0.0,0
376,6,37,26,0,0.0,0
377,6,41,37,28,0.0,0
378,17,37,10,6,0.0,0
379,24,5,20,3,0.0,0
380,34,37,29,10,0.0,0
381,24,19,24,20,0.6309297529405278,1
382,38,29,37,19,0.0,0
383,24,41,33,37,0.0,0
384,38,31,41,37,0.0,0
385,34,40,13,10,0.0,0
386,6,12,37,15,0.0,0
387,34,37,14,28,0.0,0
388,3,41,15,26,0.0,0
389,24,29,31,5,0.0,0
390,24,3,35,33,0.0,0
391,0,28,0,27,0.6309297529405278,1
392,6,37,1,4,0.0,0
393,21,37,14,28,0.0,0
394,30,29,41,26,0.0,0
395,18,5,10,31,0.0,0
396,37,26,37,16,0.6309297529405278,1
397,24,5,29,41,0.0,0
398,10,5,28,37,0.0,0
399,3,29,37,26,0.0,0
400,36,0,26,6,0.0,0
401,20,6,37,28,0.0,0
402,38,5,37,29,0.0,0
403,22,37,13,1,0.0,0
404,38,37,29,28,0.0,0
405,40,37,41,6,0.0,0
406,24,41,37,19,0.0,0
407,13,37,10,6,0.0,0
408,10,1,37,40,0.0,0
409,38,1,2,10,0.0,0
410,38,14,27,37,0.0,0
411,2,37,5,10,0.0,0
412,1,14,1,10,0.6309297529405278,1
413,22,16,10,20,0.0,0
414,13,10,28,29,0.0,0
415,21,20,5,24,0.0,0
416,30,10,29,0,0.0,0
417,23,10,29,20,0.0,0
418,22,37,1,39,0.0,0
419,15,1,28,29,0.0,0
420,24,37,29,13,0.0,0
421,24,28,5,29,0.0,0
422,5,5,29,37,0.9999999989999999,1
423,23,29,0,37,0.0,0
424,24,37,14,41,0.0,0
425,3,41,26,40,0.0,0
426,24,28,37,5,0.0,0
427,41,41,10,18,0.9999999989999999,1
428,40,14,37,6,0.0,0
429,24,41,24,10,0.6309297529405278,1
430,9,41,10,0,0.0,0
431,5,39,16,20,0.0,0
432,39,1,29,5,0.0,0
433,0,13,1,15,0.0,0
434,39,10,39,24,0.6309297529405278,1
435,21,35,14,28,0.0,0
436,25,37,20,14,0.0,0
437,10,5,10,2,0.6309297529405278,1
438,16,1,10,5,0.0,0
439,24,1,26,39,0.0,0
440,22,5,37,13,0.0,0
441,30,37,29,10,0.0,0
442,14,0,4,16,0.0,0
443,13,0,10,4,0.0,0
444,24,5,33,25,0.0,0
445,30,25,27,20,0.0,0
446,35,37,15,33,0.0,0
447,16,5,24,18,0.0,0
448,16,40,13,33,0.0,0
449,18,37,5,33,0.0,0
450,28,26,41,1,0.0,0
451,10,5,28,19,0.0,0
452,3,26,15,20,0.0,0
453,10,37,15,14,0.0,0
454,16,10,14,25,0.0,0
455,22,37,29,28,0.0,0
456,10,37,31,10,0.49999999949999996,1
457,10,20,25,10,0.49999999949999996,1
458,34,29,5,37,0.0,0
459,10,10,29,37,0.9999999989999999,1
460,19,35,11,33,0.0,0
461,33,1,37,20,0.0,0
462,34,27,33,40,0.0,0
463,24,37,1,26,0.0,0
464,31,16,0,12,0.0,0
465,38,10,16,6,0.0,0
466,38,16,3,38,0.49999999949999996,1
467,16,27,26,16,0.49999999949999996,1
468,2,14,37,26,0.0,0
469,24,29,10,37,0.0,0
470,24,15,29,33,0.0,0
471,18,0,37,23,0.0,0
472,25,1,24,20,0.0,0
473,24,41,19,37,0.0,0
474,24,37,28,33,0.0,0
475,24,33,41,40,0.0,0
476,24,0,41,16,0.0,0
477,3,41,12,5,0.0,0
478,14,37,27,10,0.0,0
479,24,28,39,26,0.0,0
480,6,32,14,5,0.0,0
481,26,37,40,10,0.0,0
482,37,37,29,28,0.9999999989999999,1
483,41,37,14,0,0.0,0
484,8,37,14,5,0.0,0
485,30,24,10,29,0.0,0
486,38,1,33,35,0.0,0
487,24,41,14,6,0.0,0
488,22,16,10,2,0.0,0
489,25,26,5,33,0.0,0
490,24,37,41,5,0.0,0
491,34,14,1,5,0.0,0
492,36,5,10,33,0.0,0
493,2,1,37,19,0.0,0
494,18,14,37,41,0.0,0
495,10,37,1,40,0.0,0
496,24,5,41,26,0.0,0
497,30,37,10,19,0.0,0
498,10,29,19,28,0.0,0
499,38,1,37,29,0.0,0
500,18,14,1,15,0.0,0
501,40,39,29,37,0.0,0
502,13,37,31,4,0.0,0
503,36,29,26,0,0.0,0
504,24,28,5,37,0.0,0
505,16,16,12,15,0.9999999989999999,1
506,10,37,29,0,0.0,0
507,36,29,10,5,0.0,0
508,38,37,29,28,0.0,0
509,24,37,4,28,0.0,0
510,24,2,19,37,0.0,0
511,22,26,37,27,0.0,0
512,11,14,37,19,0.0,0
513,38,37,14,20,0.0,0
514,38,37,1,29,0.0,0
515,24,28,16,3,0.0,0
516,25,24,25,41,0.6309297529405278,1
517,27,26,29,16,0.0,0
518,24,15,41,19,0.0,0
519,22,28,13,5,0.0,0
520,24,26,28,14,0.0,0
521,10,0,1,29,0.0,0
522,38,37,28,1,0.0,0
523,24,19,26,24,0.49999999949999996,1
524,32,26,29,20,0.0,0
525,17,14,28,10,0.0,0
526,31,29,13,31,0.49999999949999996,1
527,16,16,41,3,0.9999999989999999,1
528,18,29,14,5,0.0,0
529,8,37,5,16,0.0,0
530,23,5,32,1,0.0,0
531,7,37,28,33,0.0,0
532,38,37,10,27,0.0,0
533,24,41,28,5,0.0,0
534,30,29,37,32,0.0,0
535,38,37,5,26,0.0,0
536,20,19,1,7,0.0,0
537,24,29,5,10,0.0,0
538,24,10,29,5,0.0,0
539,38,31,23,40,0.0,0
540,15,26,37,1,0.0,0
541,17,37,10,24,0.0,0
542,5,39,5,16,0.6309297529405278,1
543,35,41,14,37,0.0,0
544,24,41,26,2,0.0,0
545,10,27,1,14,0.0,0
546,22,29,37,23,0.0,0
547,38,37,29,1,0.0,0
548,8,27,37,25,0.0,0
549,22,28,1,37,0.0,0
550,10,29,10,16,0.6309297529405278,1
551,24,24,25,5,0.9999999989999999,1
552,30,37,29,14,0.0,0
553,41,29,37,1,0.0,0
554,24,37,1,28,0.0,0
555,13,37,29,0,0.0,0
556,34,37,15,32,0.0,0
557,38,41,37,2,0.0,0
558,37,10,5,40,0.0,0
559,38,14,10,39,0.0,0
560,10,28,27,1,0.0,0
561,38,29,37,14,0.0,0
562,3,14,26,16,0.0,0
563,37,37,6,16,0.9999999989999999,1
564,3,37,1,27,0.0,0
565,10,20,28,10,0.49999999949999996,1
566,16,37,27,29,0.0,0
567,22,1,14,37,0.0,0
568,24,25,24,37,0.6309297529405278,1
569,6,14,6,28,0.6309297529405278,1
570,38,28,0,1,0.0,0
571,16,41,4,26,0.0,0
572,22,37,20,27,0.0,0
573,16,26,37,14,0.0,0
574,5,0,37,13,0.0,0
575,4,26,37,40,0.0,0
576,16,26,41,16,0.49999999949999996,1
577,10,26,41,27,0.0,0
578,24,37,29,28,0.0,0
579,36,37,14,26,0.0,0
580,16,41,14,6,0.0,0
581,30,29,10,37,0.0,0
582,13,37,29,31,0.0,0
583,22,33,14,40,0.0,0
584,24,37,16,12,0.0,0
585,25,28,33,40,0.0,0
586,3,29,10,19,0.0,0
587,30,29,37,41,0.0,0
588,32,20,32,41,0.6309297529405278,1
589,38,37,33,11,0.0,0
590,22,37,15,20,0.0,0
591,33,41,6,33,0.49999999949999996,1
592,24,37,20,28,0.0,0
593,34,33,1,37,0.0,0
594,25,29,10,5,0.0,0
595,24,37,24,25,0.6309297529405278,1
596,34,37,6,40,0.0,0
597,36,5,10,1,0.0,0
598,22,29,37,5,0.0,0
599,38,5,1,35,0.0,0
600,17,1,37,10,0.0,0
601,34,26,32,19,0.0,0
602,34,37,6,14,0.0,0
603,22,10,37,28,0.0,0
604,37,37,1,10,0.9999999989999999,1
605,20,37,23,28,0.0,0
606,22,29,14,23,0.0,0
607,14,37,26,41,0.0,0
608,26,5,1,19,0.0,0
609,38,33,4,9,0.0,0
610,34,37,26,41,0.0,0
611,36,37,10,29,0.0,0
612,30,25,24,28,0.0,0
613,24,20,10,5,0.0,0
614,5,1,29,21,0.0,0
615,28,37,10,29,0.0,0
616,24,29,5,14,0.0,0
617,8,37,29,5,0.0,0
618,20,37,20,14,0.6309297529405278,1
619,30,37,29,20,0.0,0
620,22,10,28,37,0.0,0
621,24,30,38,11,0.0,0
622,29,37,27,14,0.0,0
623,10,31,19,1,0.0,0
624,38,37,14,26,0.0,0
625,38,37,40,32,0.0,0
626,38,37,1,27,0.0,0
627,25,41,24,26,0.0,0
628,0,37,1,14,0.0,0
629,24,26,13,20,0.0,0
630,16,41,6,37,0.0,0
631,15,15,20,28,0.9999999989999999,1
632,29,29,1,0,0.9999999989999999,1
633,10,33,5,37,0.0,0
634,25,29,10,37,0.0,0
635,18,37,32,1,0.0,0
636,34,37,20,31,0.0,0
637,29,0,25,37,0.0,0
638,34,17,13,34,0.49999999949999996,1
639,24,3,15,28,0.0,0
640,2,5,31,19,0.0,0
641,21,5,29,37,0.0,0
642,25,28,20,24,0.0,0
643,13,37,19,13,0.49999999949999996,1
644,24,24,2,10,0.9999999989999999,1
645,10,4,2,5,0.0,0
646,3,28,37,1,0.0,0
647,0,31,1,28,0.0,0
648,17,14,37,26,0.0,0
649,3,1,31,10,0.0,0
650,6,41,26,10,0.0,0
651,16,27,31,9,0.0,0
652,34,15,20,16,0.0,0
653,10,28,2,15,0.0,0
654,24,29,26,10,0.0,0
655,3,27,26,37,0.0,0
656,5,33,5,6,0.6309297529405278,1
657,24,28,37,29,0.0,0
658,5,41,37,24,0.0,0
659,34,29,37,11,0.0,0
660,23,14,23,0,0.6309297529405278,1
661,10,37,28,0,0.0,0
662,29,4,41,27,0.0,0
663,3,5,2,28,0.0,0
664,41,37,29,26,0.0,0
665,26,37,1,19,0.0,0
666,15,19,1,20,0.0,0
667,34,37,1,5,0.0,0
668,25,37,10,27,0.0,0
669,39,26,12,37,0.0,0
670,5,26,1,5,0.49999999949999996,1
671,24,4,20,41,0.0,0
672,18,37,33,27,0.0,0
673,41,37,16,41,0.49999999949999996,1
674,30,41,37,6,0.0,0
675,24,37,1,10,0.0,0
676,24,41,6,37,0.0,0
677,34,32,37,10,0.0,0
678,38,29,31,37,0.0,0
679,8,1,37,29,0.0,0
680,21,10,29,14,0.0,0
681,17,10,17,37,0.6309297529405278,1
682,10,26,41,27,0.0,0
683,38,26,39,31,0.0,0
684,18,37,41,26,0.0,0
685,12,37,26,14,0.0,0
686,6,37,39,41,0.0,0
687,33,29,1,37,0.0,0
688,3,29,14,1,0.0,0
689,24,28,29,10,0.0,0
690,35,33,4,37,0.0,0
691,32,14,29,5,0.0,0
692,38,23,37,26,0.0,0
693,10,3,39,13,0.0,0
694,11,5,0,14,0.0,0
695,22,37,10,14,0.0,0
696,10,37,14,23,0.0,0
697,24,41,19,33,0.0,0
698,38,37,29,28,0.0,0
699,24,10,29,20,0.0,0
700,25,28,37,1,0.0,0
701,6,37,14,28,0.0,0
702,4,0,1,29,0.0,0
703,25,1,5,26,0.0,0
704,15,28,40,33,0.0,0
705,5,5,33,28,0.9999999989999999,1
706,6,26,1,27,0.0,0
707,30,40,33,32,0.0,0
708,8,10,5,24,0.0,0
709,24,41,10,18,0.0,0
710,18,37,27,26,0.0,0
711,10,26,10,24,0.6309297529405278,1
712,40,20,15,41,0.0,0
713,24,4,37,1,0.0,0
714,14,41,20,19,0.0,0
715,3,41,6,14,0.0,0
716,6,41,37,14,0.0,0
717,24,3,5,32,0.0,0
718,38,28,2,20,0.0,0
719,12,37,1,29,0.0,0
720,18,41,16,4,0.0,0
721,22,37,1,3,0.0,0
722,7,33,29,37,0.0,0
723,30,24,10,38,0.0,0
724,34,37,26,6,0.0,0
725,24,28,37,6,0.0,0
726,24,41,26,37,0.0,0
727,10,29,28,19,0.0,0
728,24,37,31,28,0.0,0
729,32,1,37,27,0.0,0
730,26,29,19,15,0.0,0
731,38,37,5,1,0.0,0
732,38,37,5,33,0.0,0
733,25,14,6,1,0.0,0
734,34,41,28,29,0.0,0
735,29,41,27,0,0.0,0
736,10,26,28,10,0.49999999949999996,1
737,31,37,29,39,0.0,0
738,10,37,14,32,0.0,0
739,13,14,0,37,0.0,0
740,15,41,6,20,0.0,0
741,38,23,26,12,0.0,0
742,4,37,40,33,0.0,0
743,24,14,10,37,0.0,0
744,16,6,35,25,0.0,0
745,10,20,1,26,0.0,0
746,26,25,5,39,0.0,0
747,9,37,1,29,0.0,0
748,19,28,37,5,0.0,0
749,38,27,5,37,0.0,0
750,38,26,38,16,0.6309297529405278,1
751,34,37,29,1,0.0,0
752,24,5,29,33,0.0,0
753,10,26,1,37,0.0,0
754,13,37,5,31,0.0,0
755,3,37,29,5,0.0,0
756,35,37,5,31,0.0,0
757,24,20,33,40,0.0,0
758,25,41,26,25,0.49999999949999996,1
759,16,4,14,1,0.0,0
760,24,24,41,28,0.9999999989999999,1
761,24,41,29,26,0.0,0
762,24,37,28,25,0.0,0
763,2,12,1,16,0.0,0
764,16,14,29,16,0.49999999949999996,1
765,0,37,1,10,0.0,0
766,10,1,32,19,0.0,0
767,16,41,37,29,0.0,0
768,24,5,15,31,0.0,0
769,24,29,41,10,0.0,0
770,24,41,26,37,0.0,0
771,12,14,37,27,0.0,0
772,16,29,37,31,0.0,0
773,10,28,29,14,0.0,0
774,16,5,26,37,0.0,0
775,38,29,40,37,0.0,0
776,30,37,10,29,0.0,0
777,22,29,10,13,0.0,0
778,21,37,29,33,0.0,0
779,20,28,37,15,0.0,0
780,8,10,24,40,0.0,0
781,38,5,41,6,0.0,0
782,41,29,5,37,0.0,0
783,38,32,29,24,0.0,0
784,16,37,5,23,0.0,0
785,28,37,14,28,0.49999999949999996,1
786,34,37,28,29,0.0,0
787,26,1,20,9,0.0,0
788,10,1,19,37,0.0,0
789,24,37,14,27,0.0,0
790,0,12,10,26,0.0,0
791,20,5,10,24,0.0,0
792,5,1,40,37,0.0,0
793,25,28,10,1,0.0,0
794,0,5,27,29,0.0,0
795,12,37,10,5,0.0,0
796,30,41,37,33,0.0,0
797,38,37,1,33,0.0,0
798,10,37,29,14,0.0,0
799,38,41,27,6,0.0,0
800,25,37,33,10,0.0,0
801,3,37,39,2,0.0,0
802,22,20,10,2,0.0,0
803,32,16,28,33,0.0,0
804,8,10,24,28,0.0,0
805,19,4,20,1,0.0,0
806,25,13,16,23,0.0,0
807,13,41,37,25,0.0,0
808,24,37,29,16,0.0,0
809,18,37,26,14,0.0,0
810,38,26,37,27,0.0,0
811,30,37,29,41,0.0,0
812,20,37,29,28,0.0,0
813,10,29,37,26,0.0,0
814,28,41,26,16,0.0,0
815,24,6,37,41,0.0,0
816,39,17,10,0,0.0,0
817,36,10,28,24,0.0,0
818,38,29,1,31,0.0,0
819,38,29,31,28,0.0,0
820,39,5,10,39,0.49999999949999996,1
821,39,10,37,1,0.0,0
822,13,37,31,4,0.0,0
823,17,20,37,26,0.0,0
824,10,31,10,14,0.6309297529405278,1
825,11,37,10,29,0.0,0
826,24,41,37,20,0.0,0
827,7,37,23,20,0.0,0
828,24,5,29,19,0.0,0
829,6,29,20,4,0.0,0
830,18,29,0,37,0.0,0
831,38,14,1,37,0.0,0
832,24,1,5,29,0.0,0
833,26,41,10,18,0.0,0
834,10,5,29,10,0.49999999949999996,1
835,24,20,10,28,0.0,0
836,16,1,37,39,0.0,0
837,24,24,25,3,0.9999999989999999,1
838,6,6,27,0,0.9999999989999999,1
839,16,29,1,37,0.0,0
840,10,28,15,29,0.0,0
841,40,15,41,37,0.0,0
