Step,True_Label,Action,Reward,Cumulative
130,5,34,0,4
131,5,0,0,4
132,38,18,0,4
133,17,34,0,4
134,3,34,0,4
135,38,34,0,4
136,26,1,0,4
137,26,34,0,4
138,18,16,0,4
139,34,34,1,5
140,30,34,0,5
141,15,34,0,5
142,24,34,0,5
143,22,31,0,5
144,30,34,0,5
145,22,34,0,5
146,38,34,0,5
147,34,16,0,5
148,25,34,0,5
149,8,34,0,5
150,24,16,0,5
151,34,26,0,5
152,10,34,0,5
153,13,36,0,5
154,16,34,0,5
155,4,34,0,5
156,24,34,0,5
157,33,32,0,5
158,15,8,0,5
159,24,34,0,5
160,10,32,0,5
161,20,34,0,5
162,8,16,0,5
163,22,22,1,6
164,24,22,0,6
165,41,34,0,6
166,38,34,0,6
167,34,16,0,6
168,38,22,0,6
169,3,34,0,6
170,10,22,0,6
171,24,34,0,6
172,8,22,0,6
173,34,41,0,6
174,2,8,0,6
175,24,16,0,6
176,10,11,0,6
177,16,34,0,6
178,22,34,0,6
179,2,14,0,6
180,24,34,0,6
181,24,16,0,6
182,34,34,1,7
183,38,22,0,7
184,1,34,0,7
185,24,8,0,7
186,3,40,0,7
187,28,22,0,7
188,24,34,0,7
189,23,22,0,7
190,20,12,0,7
191,29,11,0,7
192,13,22,0,7
193,25,16,0,7
194,10,28,0,7
195,38,22,0,7
196,13,38,0,7
197,3,16,0,7
198,19,29,0,7
199,26,33,0,7
200,24,34,0,7
201,10,34,0,7
202,17,22,0,7
203,10,9,0,7
204,32,10,0,7
205,37,7,0,7
206,25,12,0,7
207,38,31,0,7
208,11,11,1,8
209,34,0,0,8
210,35,11,0,8
211,38,11,0,8
212,24,11,0,8
213,24,13,0,8
214,18,22,0,8
215,16,11,0,8
216,39,11,0,8
217,26,21,0,8
218,24,11,0,8
219,25,34,0,8
220,24,34,0,8
221,31,22,0,8
222,12,20,0,8
223,3,34,0,8
224,5,28,0,8
225,10,11,0,8
226,32,34,0,8
227,15,11,0,8
228,24,23,0,8
229,25,0,0,8
230,14,34,0,8
231,24,11,0,8
232,13,38,0,8
233,31,1,0,8
234,38,34,0,8
235,17,11,0,8
236,31,32,0,8
237,7,11,0,8
238,34,34,1,9
239,17,34,0,9
240,22,11,0,9
241,10,22,0,9
242,22,35,0,9
243,24,22,0,9
244,37,6,0,9
245,24,18,0,9
246,20,40,0,9
247,13,3,0,9
248,24,27,0,9
249,25,11,0,9
250,39,36,0,9
251,39,1,0,9
252,30,37,0,9
253,10,14,0,9
254,40,15,0,9
255,34,34,1,10
256,38,22,0,10
257,22,22,1,11
258,12,34,0,11
259,40,7,0,11
260,38,11,0,11
261,40,11,0,11
262,40,34,0,11
263,38,22,0,11
264,16,22,0,11
265,27,11,0,11
266,16,16,1,12
267,17,22,0,12
268,24,34,0,12
269,33,3,0,12
270,0,12,0,12
271,24,37,0,12
272,25,5,0,12
273,34,9,0,12
274,17,34,0,12
275,24,34,0,12
276,24,11,0,12
277,24,11,0,12
278,24,34,0,12
279,24,2,0,12
280,24,16,0,12
281,17,16,0,12
282,8,34,0,12
283,24,29,0,12
284,34,8,0,12
285,17,11,0,12
286,38,34,0,12
287,34,16,0,12
288,24,24,1,13
289,30,22,0,13
290,38,24,0,13
291,33,24,0,13
292,36,24,0,13
293,24,22,0,13
294,9,32,0,13
295,24,34,0,13
296,25,22,0,13
297,30,24,0,13
298,10,22,0,13
299,6,24,0,13
300,24,24,1,14
301,13,16,0,14
302,24,24,1,15
303,26,22,0,15
304,29,16,0,15
305,2,23,0,15
306,18,24,0,15
307,6,24,0,15
308,34,34,1,16
309,16,11,0,16
310,13,24,0,16
311,30,24,0,16
312,13,16,0,16
313,13,24,0,16
314,1,24,0,16
315,24,22,0,16
316,16,11,0,16
317,39,31,0,16
318,30,24,0,16
319,24,24,1,17
320,16,24,0,17
321,1,24,0,17
322,14,34,0,17
323,27,24,0,17
324,41,24,0,17
325,30,11,0,17
326,24,0,0,17
327,30,11,0,17
328,31,34,0,17
329,24,24,1,18
330,22,24,0,18
331,12,34,0,18
332,8,34,0,18
333,34,15,0,18
334,15,24,0,18
335,34,27,0,18
336,10,34,0,18
337,17,41,0,18
338,10,4,0,18
339,5,24,0,18
340,10,11,0,18
341,24,24,1,19
342,16,24,0,19
343,24,10,0,19
344,28,22,0,19
345,22,24,0,19
346,38,24,0,19
347,33,6,0,19
348,24,24,1,20
349,16,34,0,20
350,38,11,0,20
351,38,24,0,20
352,17,24,0,20
353,38,24,0,20
354,8,22,0,20
355,18,34,0,20
356,13,16,0,20
357,8,14,0,20
358,28,24,0,20
359,17,24,0,20
360,10,24,0,20
361,32,18,0,20
362,34,16,0,20
363,23,22,0,20
364,38,24,0,20
365,35,36,0,20
366,24,24,1,21
367,28,17,0,21
368,17,24,0,21
369,39,28,0,21
370,30,13,0,21
371,38,5,0,21
372,2,33,0,21
373,30,11,0,21
374,36,34,0,21
375,10,7,0,21
376,6,24,0,21
377,6,26,0,21
378,17,24,0,21
379,24,34,0,21
380,34,34,1,22
381,24,24,1,23
382,38,34,0,23
383,24,24,1,24
384,38,24,0,24
385,34,34,1,25
386,6,24,0,25
387,34,21,0,25
388,3,24,0,25
389,24,24,1,26
390,24,24,1,27
391,0,16,0,27
392,6,24,0,27
393,21,24,0,27
394,30,16,0,27
395,18,26,0,27
396,37,34,0,27
397,24,24,1,28
398,10,24,0,28
399,3,32,0,28
400,36,22,0,28
401,20,16,0,28
402,38,34,0,28
403,22,6,0,28
404,38,30,0,28
405,40,34,0,28
406,24,40,0,28
407,13,24,0,28
408,10,38,0,28
409,38,34,0,28
410,38,24,0,28
411,2,24,0,28
412,1,16,0,28
413,22,22,1,29
414,13,24,0,29
415,21,24,0,29
416,30,34,0,29
417,23,25,0,29
418,22,34,0,29
419,15,2,0,29
420,24,24,1,30
421,24,24,1,31
422,5,24,0,31
423,23,39,0,31
424,24,24,1,32
425,3,24,0,32
426,24,24,1,33
427,41,0,0,33
428,40,34,0,33
429,24,34,0,33
430,9,22,0,33
431,5,11,0,33
432,39,24,0,33
433,0,19,0,33
434,39,24,0,33
435,21,28,0,33
436,25,39,0,33
437,10,24,0,33
438,16,4,0,33
439,24,24,1,34
440,22,24,0,34
441,30,11,0,34
442,14,24,0,34
443,13,34,0,34
444,24,24,1,35
445,30,27,0,35
446,35,26,0,35
447,16,24,0,35
448,16,24,0,35
449,18,41,0,35
450,28,16,0,35
451,10,24,0,35
452,3,24,0,35
453,10,20,0,35
454,16,39,0,35
455,22,34,0,35
456,10,34,0,35
457,10,24,0,35
458,34,33,0,35
459,10,34,0,35
460,19,24,0,35
461,33,25,0,35
462,34,34,1,36
463,24,34,0,36
464,31,22,0,36
465,38,11,0,36
466,38,8,0,36
467,16,24,0,36
468,2,34,0,36
469,24,24,1,37
470,24,40,0,37
471,18,24,0,37
472,25,23,0,37
473,24,11,0,37
474,24,32,0,37
475,24,24,1,38
476,24,31,0,38
477,3,24,0,38
478,14,34,0,38
479,24,41,0,38
480,6,15,0,38
481,26,24,0,38
482,37,28,0,38
483,41,24,0,38
484,8,24,0,38
485,30,13,0,38
486,38,9,0,38
487,24,37,0,38
488,22,22,1,39
489,25,34,0,39
490,24,24,1,40
491,34,34,1,41
492,36,24,0,41
493,2,24,0,41
494,18,22,0,41
495,10,1,0,41
496,24,24,1,42
497,30,34,0,42
498,10,24,0,42
499,38,24,0,42
500,18,15,0,42
501,40,6,0,42
502,13,24,0,42
503,36,24,0,42
504,24,22,0,42
505,16,29,0,42
506,10,24,0,42
507,36,37,0,42
508,38,35,0,42
509,24,22,0,42
510,24,34,0,42
511,22,22,1,43
512,11,23,0,43
513,38,34,0,43
514,38,34,0,43
515,24,22,0,43
516,25,24,0,43
517,27,24,0,43
518,24,24,1,44
519,22,38,0,44
520,24,33,0,44
521,10,20,0,44
522,38,22,0,44
523,24,24,1,45
524,32,24,0,45
525,17,24,0,45
526,31,23,0,45
527,16,2,0,45
528,18,18,1,46
529,8,18,0,46
530,23,18,0,46
531,7,18,0,46
532,38,18,0,46
533,24,24,1,47
534,30,34,0,47
535,38,18,0,47
536,20,18,0,47
537,24,24,1,48
538,24,24,1,49
539,38,18,0,49
540,15,18,0,49
541,17,24,0,49
542,5,18,0,49
543,35,24,0,49
544,24,24,1,50
545,10,24,0,50
546,22,21,0,50
547,38,24,0,50
548,8,25,0,50
549,22,18,0,50
550,10,18,0,50
551,24,24,1,51
552,30,11,0,51
553,41,27,0,51
554,24,24,1,52
555,13,16,0,52
556,34,34,1,53
557,38,18,0,53
558,37,24,0,53
559,38,18,0,53
560,10,11,0,53
561,38,28,0,53
562,3,18,0,53
563,37,40,0,53
564,3,18,0,53
565,10,34,0,53
566,16,4,0,53
567,22,22,1,54
568,24,24,1,55
569,6,18,0,55
570,38,24,0,55
571,16,24,0,55
572,22,6,0,55
573,16,24,0,55
574,5,18,0,55
575,4,32,0,55
576,16,24,0,55
577,10,22,0,55
578,24,31,0,55
579,36,18,0,55
580,16,5,0,55
581,30,12,0,55
582,13,24,0,55
583,22,18,0,55
584,24,16,0,55
585,25,29,0,55
586,3,19,0,55
587,30,24,0,55
588,32,24,0,55
589,38,0,0,55
590,22,34,0,55
591,33,0,0,55
592,24,24,1,56
593,34,24,0,56
594,25,24,0,56
595,24,24,1,57
596,34,34,1,58
597,36,22,0,58
598,22,22,1,59
599,38,24,0,59
600,17,22,0,59
601,34,18,0,59
602,34,34,1,60
603,22,22,1,61
604,37,22,0,61
605,20,30,0,61
606,22,22,1,62
607,14,22,0,62
608,26,39,0,62
609,38,24,0,62
610,34,24,0,62
611,36,22,0,62
612,30,22,0,62
613,24,24,1,63
614,5,21,0,63
615,28,31,0,63
616,24,16,0,63
617,8,16,0,63
618,20,36,0,63
619,30,11,0,63
620,22,16,0,63
621,24,34,0,63
622,29,24,0,63
623,10,0,0,63
624,38,18,0,63
625,38,22,0,63
626,38,6,0,63
627,25,19,0,63
628,0,34,0,63
629,24,17,0,63
630,16,22,0,63
631,15,24,0,63
632,29,18,0,63
633,10,34,0,63
634,25,18,0,63
635,18,16,0,63
636,34,7,0,63
637,29,41,0,63
638,34,34,1,64
639,24,10,0,64
640,2,24,0,64
641,21,22,0,64
642,25,19,0,64
643,13,22,0,64
644,24,18,0,64
645,10,1,0,64
646,3,22,0,64
647,0,34,0,64
648,17,31,0,64
649,3,13,0,64
650,6,1,0,64
651,16,16,1,65
652,34,37,0,65
653,10,24,0,65
654,24,18,0,65
655,3,16,0,65
656,5,12,0,65
657,24,24,1,66
658,5,16,0,66
659,34,38,0,66
660,23,22,0,66
661,10,34,0,66
662,29,2,0,66
663,3,18,0,66
664,41,26,0,66
665,26,34,0,66
666,15,34,0,66
667,34,19,0,66
668,25,22,0,66
669,39,16,0,66
670,5,12,0,66
671,24,0,0,66
672,18,24,0,66
673,41,18,0,66
674,30,22,0,66
675,24,22,0,66
676,24,8,0,66
677,34,38,0,66
678,38,14,0,66
679,8,4,0,66
680,21,34,0,66
681,17,24,0,66
682,10,2,0,66
683,38,24,0,66
684,18,34,0,66
685,12,24,0,66
686,6,14,0,66
687,33,9,0,66
688,3,23,0,66
689,24,24,1,67
690,35,24,0,67
691,32,22,0,67
692,38,40,0,67
693,10,27,0,67
694,11,34,0,67
695,22,16,0,67
696,10,22,0,67
697,24,24,1,68
698,38,24,0,68
699,24,6,0,68
700,25,24,0,68
701,6,14,0,68
702,4,32,0,68
703,25,3,0,68
704,15,3,0,68
705,5,24,0,68
706,6,24,0,68
707,30,34,0,68
708,8,24,0,68
709,24,0,0,68
710,18,25,0,68
711,10,24,0,68
712,40,8,0,68
713,24,24,1,69
714,14,16,0,69
715,3,1,0,69
716,6,34,0,69
717,24,18,0,69
718,38,22,0,69
719,12,36,0,69
720,18,19,0,69
721,22,7,0,69
722,7,18,0,69
723,30,23,0,69
724,34,30,0,69
725,24,24,1,70
726,24,24,1,71
727,10,24,0,71
728,24,11,0,71
729,32,3,0,71
730,26,36,0,71
731,38,10,0,71
732,38,22,0,71
733,25,17,0,71
734,34,34,1,72
735,29,38,0,72
736,10,33,0,72
737,31,17,0,72
738,10,41,0,72
739,13,27,0,72
740,15,34,0,72
741,38,3,0,72
742,4,34,0,72
743,24,16,0,72
744,16,24,0,72
745,10,24,0,72
746,26,23,0,72
747,9,24,0,72
748,19,34,0,72
749,38,22,0,72
750,38,35,0,72
751,34,24,0,72
752,24,24,1,73
753,10,35,0,73
754,13,34,0,73
755,3,24,0,73
756,35,29,0,73
757,24,18,0,73
758,25,5,0,73
759,16,24,0,73
760,24,24,1,74
761,24,24,1,75
762,24,33,0,75
763,2,24,0,75
764,16,22,0,75
765,0,28,0,75
766,10,24,0,75
767,16,22,0,75
768,24,24,1,76
769,24,24,1,77
770,24,12,0,77
771,12,15,0,77
772,16,6,0,77
773,10,37,0,77
774,16,34,0,77
775,38,39,0,77
776,30,9,0,77
777,22,21,0,77
778,21,27,0,77
779,20,4,0,77
780,8,19,0,77
781,38,30,0,77
782,41,24,0,77
783,38,22,0,77
784,16,7,0,77
785,28,16,0,77
786,34,25,0,77
787,26,7,0,77
788,10,17,0,77
789,24,1,0,77
790,0,8,0,77
791,20,24,0,77
792,5,16,0,77
793,25,21,0,77
794,0,33,0,77
795,12,34,0,77
796,30,10,0,77
797,38,12,0,77
798,10,34,0,77
799,38,24,0,77
800,25,2,0,77
801,3,24,0,77
802,22,20,0,77
803,32,32,1,78
804,8,22,0,78
805,19,18,0,78
806,25,22,0,78
807,13,32,0,78
808,24,24,1,79
809,18,24,0,79
810,38,29,0,79
811,30,5,0,79
812,20,24,0,79
813,10,24,0,79
814,28,35,0,79
815,24,24,1,80
816,39,17,0,80
817,36,32,0,80
818,38,32,0,80
819,38,32,0,80
820,39,34,0,80
821,39,26,0,80
822,13,22,0,80
823,17,31,0,80
824,10,11,0,80
825,11,32,0,80
826,24,24,1,81
827,7,33,0,81
828,24,24,1,82
829,6,24,0,82
830,18,13,0,82
831,38,33,0,82
832,24,24,1,83
833,26,0,0,83
834,10,32,0,83
835,24,34,0,83
836,16,37,0,83
837,24,24,1,84
838,6,32,0,84
839,16,3,0,84
840,10,18,0,84
841,40,24,0,84
842,34,4,0,84
843,24,19,0,84
844,24,24,1,85
845,3,24,0,85
846,10,32,0,85
847,28,32,0,85
848,18,22,0,85
849,22,41,0,85
850,23,1,0,85
851,28,30,0,85
852,25,24,0,85
853,6,32,0,85
854,16,11,0,85
855,38,21,0,85
856,10,0,0,85
857,28,18,0,85
858,17,29,0,85
859,8,39,0,85
860,24,37,0,85
861,39,39,1,86
862,38,24,0,86
863,30,22,0,86
864,37,39,0,86
865,8,22,0,86
866,24,24,1,87
867,38,34,0,87
868,10,24,0,87
869,24,24,1,88
870,24,32,0,88
871,8,26,0,88
872,21,24,0,88
873,24,24,1,89
874,34,39,0,89
875,23,39,0,89
876,5,24,0,89
877,2,32,0,89
878,24,0,0,89
879,25,34,0,89
880,38,15,0,89
881,26,11,0,89
882,28,8,0,89
883,24,24,1,90
884,24,32,0,90
885,10,22,0,90
886,24,24,1,91
887,40,23,0,91
888,15,39,0,91
889,18,0,0,91
890,24,39,0,91
891,30,18,0,91
892,16,24,0,91
893,38,32,0,91
894,23,22,0,91
895,24,24,1,92
896,34,32,0,92
897,30,40,0,92
898,38,10,0,92
899,4,16,0,92
900,30,39,0,92
901,22,5,0,92
902,3,39,0,92
903,24,24,1,93
904,24,39,0,93
905,24,24,1,94
906,33,34,0,94
907,36,18,0,94
908,17,35,0,94
909,22,27,0,94
910,12,1,0,94
911,35,39,0,94
912,38,6,0,94
913,18,24,0,94
914,31,24,0,94
915,38,16,0,94
916,38,41,0,94
917,24,24,1,95
918,12,34,0,95
919,38,24,0,95
920,10,0,0,95
921,38,8,0,95
922,6,32,0,95
923,18,38,0,95
924,3,39,0,95
925,38,0,0,95
926,24,24,1,96
927,33,1,0,96
928,21,22,0,96
929,24,24,1,97
930,13,18,0,97
931,38,24,0,97
932,28,24,0,97
933,38,22,0,97
934,4,13,0,97
935,30,35,0,97
936,6,24,0,97
937,40,29,0,97
938,38,38,1,98
939,18,38,0,98
940,5,1,0,98
941,22,22,1,99
942,37,3,0,99
943,16,39,0,99
944,10,25,0,99
945,5,20,0,99
946,24,38,0,99
947,10,12,0,99
948,6,28,0,99
949,20,24,0,99
950,24,32,0,99
951,32,32,1,100
952,15,24,0,100
953,36,3,0,100
954,32,32,1,101
955,5,39,0,101
956,4,22,0,101
957,24,32,0,101
958,10,38,0,101
959,40,21,0,101
960,38,39,0,101
961,2,38,0,101
962,2,2,1,102
963,38,32,0,102
964,24,24,1,103
965,28,24,0,103
966,10,2,0,103
967,10,0,0,103
968,34,38,0,103
969,22,22,1,104
970,30,32,0,104
971,38,2,0,104
972,34,2,0,104
973,38,2,0,104
974,6,24,0,104
975,24,24,1,105
976,24,24,1,106
977,24,24,1,107
978,34,38,0,107
979,3,2,0,107
980,37,38,0,107
981,10,38,0,107
982,24,24,1,108
983,24,24,1,109
984,24,38,0,109
985,17,32,0,109
986,8,34,0,109
987,22,2,0,109
988,25,20,0,109
989,38,22,0,109
990,39,38,0,109
991,36,2,0,109
992,29,38,0,109
993,26,13,0,109
994,30,22,0,109
995,12,25,0,109
996,38,34,0,109
997,38,2,0,109
998,24,24,1,110
999,27,3,0,110
1000,10,2,0,110
1001,24,32,0,110
1002,34,22,0,110
1003,5,24,0,110
1004,24,24,1,111
1005,13,31,0,111
1006,30,40,0,111
1007,5,39,0,111
1008,36,24,0,111
1009,30,2,0,111
1010,11,0,0,111
1011,24,32,0,111
1012,41,34,0,111
1013,28,28,1,112
1014,10,32,0,112
1015,34,34,1,113
1016,24,24,1,114
1017,10,24,0,114
1018,30,28,0,114
1019,38,38,1,115
1020,5,34,0,115
1021,24,24,1,116
1022,38,39,0,116
1023,20,38,0,116
1024,18,16,0,116
1025,40,32,0,116
1026,21,38,0,116
1027,31,28,0,116
1028,25,22,0,116
1029,37,28,0,116
1030,37,39,0,116
1031,14,2,0,116
1032,34,35,0,116
1033,24,2,0,116
1034,19,38,0,116
1035,34,14,0,116
1036,24,23,0,116
1037,34,38,0,116
1038,24,24,1,117
1039,34,38,0,117
1040,13,28,0,117
1041,3,28,0,117
1042,38,28,0,117
1043,24,24,1,118
1044,10,22,0,118
1045,24,9,0,118
1046,34,32,0,118
1047,38,40,0,118
1048,18,22,0,118
1049,22,28,0,118
1050,17,24,0,118
1051,35,29,0,118
1052,10,11,0,118
1053,32,22,0,118
1054,24,28,0,118
1055,3,32,0,118
1056,33,24,0,118
1057,38,2,0,118
1058,38,2,0,118
1059,27,28,0,118
1060,11,22,0,118
1061,21,28,0,118
1062,33,34,0,118
1063,38,32,0,118
1064,30,24,0,118
1065,24,24,1,119
1066,30,26,0,119
1067,29,2,0,119
1068,24,24,1,120
1069,25,39,0,120
1070,24,22,0,120
1071,2,2,1,121
1072,34,38,0,121
1073,38,4,0,121
1074,28,28,1,122
1075,30,28,0,122
1076,39,18,0,122
1077,30,11,0,122
1078,3,8,0,122
1079,38,27,0,122
1080,39,9,0,122
1081,5,24,0,122
1082,27,28,0,122
1083,40,24,0,122
1084,18,19,0,122
1085,24,24,1,123
1086,17,36,0,123
1087,0,16,0,123
1088,24,4,0,123
1089,30,28,0,123
1090,16,38,0,123
1091,41,2,0,123
1092,5,2,0,123
1093,15,24,0,123
1094,34,32,0,123
1095,38,10,0,123
1096,25,39,0,123
1097,22,2,0,123
1098,10,38,0,123
1099,26,2,0,123
1100,38,2,0,123
1101,38,38,1,124
1102,6,28,0,124
1103,17,32,0,124
1104,24,19,0,124
1105,36,38,0,124
1106,26,24,0,124
1107,33,39,0,124
1108,38,38,1,125
1109,37,32,0,125
1110,18,2,0,125
1111,24,24,1,126
1112,28,28,1,127
1113,5,24,0,127
1114,33,41,0,127
1115,23,24,0,127
1116,16,38,0,127
1117,24,24,1,128
1118,24,24,1,129
1119,11,34,0,129
1120,6,28,0,129
1121,33,34,0,129
1122,38,38,1,130
1123,1,22,0,130
1124,24,24,1,131
1125,37,38,0,131
1126,24,24,1,132
1127,10,39,0,132
1128,29,2,0,132
1129,38,38,1,133
1130,38,2,0,133
1131,28,34,0,133
1132,24,28,0,133
1133,2,38,0,133
1134,26,32,0,133
1135,24,28,0,133
1136,19,40,0,133
1137,10,39,0,133
1138,36,38,0,133
1139,2,38,0,133
1140,38,38,1,134
1141,33,28,0,134
1142,10,32,0,134
1143,10,2,0,134
1144,24,38,0,134
1145,40,2,0,134
1146,24,32,0,134
1147,34,22,0,134
1148,39,12,0,134
1149,14,13,0,134
1150,24,24,1,135
1151,15,28,0,135
1152,38,38,1,136
1153,38,38,1,137
1154,28,28,1,138
1155,34,28,0,138
1156,8,38,0,138
1157,24,24,1,139
1158,38,15,0,139
1159,39,24,0,139
1160,40,2,0,139
1161,20,38,0,139
1162,17,38,0,139
1163,16,16,1,140
1164,24,38,0,140
1165,22,32,0,140
1166,17,2,0,140
1167,23,34,0,140
1168,38,38,1,141
1169,16,28,0,141
1170,10,24,0,141
1171,15,0,0,141
1172,36,2,0,141
1173,22,38,0,141
1174,9,24,0,141
1175,5,38,0,141
1176,24,24,1,142
1177,3,38,0,142
1178,21,26,0,142
1179,4,38,0,142
1180,10,25,0,142
1181,12,22,0,142
1182,38,22,0,142
1183,23,38,0,142
1184,32,5,0,142
1185,15,13,0,142
1186,35,38,0,142
1187,21,38,0,142
1188,9,38,0,142
1189,16,22,0,142
1190,34,34,1,143
1191,10,22,0,143
1192,10,38,0,143
1193,10,38,0,143
1194,24,24,1,144
1195,38,17,0,144
1196,24,24,1,145
1197,17,6,0,145
1198,22,28,0,145
1199,28,34,0,145
1200,23,36,0,145
1201,21,22,0,145
1202,6,32,0,145
1203,2,3,0,145
1204,37,22,0,145
1205,30,28,0,145
1206,22,22,1,146
1207,33,38,0,146
1208,22,24,0,146
1209,40,24,0,146
1210,5,15,0,146
1211,24,38,0,146
1212,21,28,0,146
1213,39,37,0,146
1214,2,34,0,146
1215,24,30,0,146
1216,24,24,1,147
1217,24,24,1,148
1218,10,16,0,148
1219,24,32,0,148
1220,3,28,0,148
1221,2,38,0,148
1222,23,32,0,148
1223,32,38,0,148
1224,24,18,0,148
1225,36,38,0,148
1226,24,24,1,149
1227,24,24,1,150
1228,26,24,0,150
1229,36,36,1,151
1230,38,36,0,151
1231,6,36,0,151
1232,10,32,0,151
1233,2,36,0,151
1234,22,38,0,151
1235,30,36,0,151
1236,30,36,0,151
1237,28,16,0,151
1238,30,28,0,151
1239,3,38,0,151
1240,26,36,0,151
1241,24,38,0,151
1242,8,17,0,151
1243,6,28,0,151
1244,39,28,0,151
1245,18,34,0,151
1246,10,5,0,151
1247,30,20,0,151
1248,23,35,0,151
1249,22,38,0,151
1250,24,24,1,152
1251,25,28,0,152
1252,30,16,0,152
1253,18,9,0,152
1254,38,38,1,153
1255,22,22,1,154
1256,24,33,0,154
1257,24,28,0,154
1258,34,2,0,154
1259,39,38,0,154
1260,29,24,0,154
1261,24,36,0,154
1262,3,24,0,154
1263,24,24,1,155
1264,21,38,0,155
1265,1,24,0,155
1266,25,38,0,155
1267,26,34,0,155
1268,17,36,0,155
1269,12,38,0,155
1270,8,18,0,155
1271,40,9,0,155
1272,10,28,0,155
1273,14,2,0,155
1274,24,38,0,155
1275,18,28,0,155
1276,24,0,0,155
1277,16,36,0,155
1278,24,28,0,155
1279,10,36,0,155
1280,38,36,0,155
1281,19,28,0,155
1282,24,24,1,156
1283,36,38,0,156
1284,5,24,0,156
1285,0,38,0,156
1286,39,28,0,156
1287,24,24,1,157
1288,10,24,0,157
1289,24,27,0,157
1290,25,39,0,157
1291,24,24,1,158
1292,1,41,0,158
1293,4,21,0,158
1294,38,7,0,158
1295,25,28,0,158
1296,13,37,0,158
1297,38,4,0,158
1298,38,36,0,158
1299,38,38,1,159
1300,5,24,0,159
1301,24,24,1,160
1302,33,40,0,160
1303,13,36,0,160
1304,18,22,0,160
1305,36,11,0,160
1306,5,36,0,160
1307,37,36,0,160
1308,28,38,0,160
1309,34,38,0,160
1310,26,38,0,160
1311,6,32,0,160
1312,24,24,1,161
1313,24,24,1,162
1314,5,38,0,162
1315,10,36,0,162
1316,37,34,0,162
1317,3,38,0,162
1318,14,21,0,162
1319,38,6,0,162
1320,10,24,0,162
1321,24,8,0,162
1322,24,24,1,163
1323,34,34,1,164
1324,16,38,0,164
1325,12,38,0,164
1326,20,38,0,164
1327,3,36,0,164
1328,6,27,0,164
1329,20,28,0,164
1330,2,22,0,164
1331,10,28,0,164
1332,38,10,0,164
1333,33,36,0,164
1334,41,25,0,164
1335,10,24,0,164
1336,28,8,0,164
1337,18,28,0,164
1338,29,6,0,164
1339,24,24,1,165
1340,15,36,0,165
1341,21,24,0,165
1342,3,26,0,165
1343,28,28,1,166
1344,24,10,0,166
1345,38,38,1,167
1346,27,36,0,167
1347,24,24,1,168
1348,38,19,0,168
1349,27,38,0,168
1350,8,38,0,168
1351,34,24,0,168
1352,10,38,0,168
1353,14,36,0,168
1354,29,28,0,168
1355,14,28,0,168
1356,8,30,0,168
1357,24,32,0,168
1358,1,22,0,168
1359,38,23,0,168
